Label,Area,Desc_Corrected,Morpheme_Analyzed
0,광진구 구의동,"주간에 거주하는 가족이 없다면 살만 함앞서 말한 대로 공사 소음  층간소음  담배 연기 버틸 자신 있음 딱히 주거하는 데 별 지장 없음 그러나 아기 있는 가족은 추천하지 않음

이 문장을 긍정리뷰인지 부정리뷰인지로만 분류해줘
","['주간', '주하', '가족', '없다면', '앞서', '대로', '공사', '소음', '층간소음', '담배', '연기', '버틸', '있음', '딱히', '주거', '지장', '없음', '아기', '있는', '가족', '천하', '않음',]"
0,광진구 구의동,"이 아파트의 최대 장점은 주차임  주차가 서울 시내 최고라고 생각함 자차 운전하는 어른들에게는 너무 추천함 단 학생  특히 여학생 있는 집은 비추임  외지고  밤늦게 낯선 사람들이 많이 다녀서 불안함

이 문장을 긍정리뷰인지 부정리뷰인지로만 분류해줘
","['아파트', '최대', '장점', '주차', '주차', '서울', '시내', '최고', '라고', '자차', '전하', '어른', '에게는', '너무', '추천', '학생', '특히', '여학생', '있는', '집은', '비추', '외지', '밤늦게', '낯선', '사람', '들이', '많이', '다녀서', '불안',]"
0,광진구 구의동,"위치는 훌륭 하나 단지 관리  지하철 소음으로 인해 장기간 거주할 수 없는 곳이다  거주고 민시종합적인 고려를 해볼 것을 권한다

이 문장을 긍정리뷰인지 부정리뷰인지로만 분류해줘
","['위치', '훌륭', '관리', '지하철', '음으로', '인해', '장기간', '거주', '없는', '거주', '민시', '종합', '고려', '해볼', '권한',]"
0,광진구 광장동,"한강광장 들어오면 엄청난 먼지 분진 예상 15층짜리 들어와서 대부분 가려진다고 봄 여기 살면서 한강 보인 거딱 하나 좋았는데 그마저도 없어짐

이 문장을 긍정리뷰인지 부정리뷰인지로만 분류해줘
","['한강', '광장', '들어오면', '엄청', '먼지', '분진', '예상', '짜리', '들어와서', '대부분', '가려진', '면서', '한강', '보인', '좋았는데', '없어짐',]"
0,광진구 광장동,"단지가 조용하고 교통도 편리하고 아차산과 한강 이용하고 하기엔 좋습니다  재건축이 되어 새 아파트가 되면 정말 좋을 듯합니다  주차가 너무 힘들고 아이들이 지상에 주차된 차들 사이로 건너 건너갈 때 걱정되기도 하고 초등학교 갈��도 건널목만 2 3개 건너야 합니다

이 문장을 긍정리뷰인지 부정리뷰인지로만 분류해줘
","['조용', '하고', '교통', '편리', '하고', '아차산', '한강', '이용', '하고', '하기엔', '좋습니다', '재건축', '아파트', '정말', '좋을', '주차', '너무', '힘들고', '아이들', '지상', '주차', '사이', '건너', '건너', '걱정', '기도', '하고', '초등학교', '건널목', '건너',]"
0,광진구 광장동,"낡은 아파트 고주차장 불편하여 다만 중앙난방이라 장단점이 햇살도 남향이 아닌 집은 오전에 일정 시간대 만들어옴

이 문장을 긍정리뷰인지 부정리뷰인지로만 분류해줘
","['낡은', '아파트', '주차장', '불편', '하여', '중앙', '난방', '장단점', '햇살', '남향', '아닌', '집은', '오전', '일정', '시간대', '만들어',]"
0,광진구 광장동,"학군 말고는 삶의 질이 떨어짐 목동상계대치 정도는 안 되는 소규모 학군지임  상위권은 결국 대치로감  아파트가 오래되어 집수리하는 집이 많아 소음자주 있음

이 문장을 긍정리뷰인지 부정리뷰인지로만 분류해줘
","['학군', '말고는', '떨어짐', '목동', '상계', '대치', '되는', '소규모', '학군', '상위', '대치', '아파트', '오래', '집수', '리하', '많아', '소음', '자주', '있음',]"
0,광진구 광장동,"사실 잘 모르겠음 초등생 자녀 있다면 주차포기하고 버티며 살만하기는 함  결국 주차 주차차 없거나 거이 안타면

이 문장을 긍정리뷰인지 부정리뷰인지로만 분류해줘
","['사실', '모르겠음', '초등생', '자녀', '있다면', '주차', '포기', '하고', '버티며', '만하', '기는', '주차', '주차', '거나', '안타',]"
0,광진구 광장동,"학군과 주변 여건을 보면 매우 좋은 아파트다  그러나 시설 노후와 감당 안 되는 주차여건  소음 등 동에 따라 여건이 많이 다르고 그에 따른 만족도가 다른 듯하다 뷰 때문에 반해서 선택했으나 손 볼 곳이 많은 구형 아파트다

이 문장을 긍정리뷰인지 부정리뷰인지로만 분류해줘
","['학군', '주변', '여건', '보면', '매우', '좋은', '아파트', '시설', '노후', '감당', '되는', '주차', '여건', '소음', '여건', '많이', '다르고', '따른', '만족도', '때문', '선택', '했으나', '많은', '구형', '아파트',]"
0,광진구 광장동,"솔직히 추천은 못하겠음 개인적으로 주차 스트래스 때문에 비추이 문제만 해결되면 추천할 만함 주차 때문에 몇 번 이 사고민했음  근데 지금은 너무 비쌈

이 문장을 긍정리뷰인지 부정리뷰인지로만 분류해줘
","['솔직', '추천', '하겠음', '인적', '주차', '스트래스', '때문', '추이', '문제', '해결', '추천', '주차', '때문', '사고', '했음', '근데', '지금', '너무', '비쌈',]"
